letter,weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
𐎔,332,"{'top_left': 117, 'top_right': 49, 'bottom_left': 118, 'bottom_right': 48}","{'top_left': 0.22807017543859648, 'top_right': 0.09551656920077972, 'bottom_left': 0.2300194931773879, 'bottom_right': 0.0935672514619883}","(20.5, 21.373493975903614)","(0.37962962962962965, 0.5624603677869372)","(45.288213093337205, 144.55722891566265)","(0.029775288029807497, 0.04778751369112815)"
𐎕,346,"{'top_left': 129, 'top_right': 125, 'bottom_left': 47, 'bottom_right': 45}","{'top_left': 0.21717171717171718, 'top_right': 0.21043771043771045, 'bottom_left': 0.07912457912457913, 'bottom_right': 0.07575757575757576}","(26.352601156069365, 15.028901734104046)","(0.48801113251980305, 0.3415659485023647)","(118.61188145277156, 49.56353369641485)","(0.05857376861865262, 0.01638463923848425)"
𐎖,359,"{'top_left': 83, 'top_right': 117, 'bottom_left': 56, 'bottom_right': 103}","{'top_left': 0.12443778110944528, 'top_right': 0.17541229385307347, 'bottom_left': 0.08395802098950525, 'bottom_right': 0.15442278860569716}","(30.977715877437326, 22.225626740947074)","(0.5340985496109883, 0.49390281646549056)","(58.3307081726554, 199.63738642623818)","(0.027566497246056428, 0.057350585011846644)"
𐎗,470,"{'top_left': 168, 'top_right': 95, 'bottom_left': 170, 'bottom_right': 37}","{'top_left': 0.24561403508771928, 'top_right': 0.1388888888888889, 'bottom_left': 0.24853801169590642, 'bottom_right': 0.054093567251461985}","(27.76595744680851, 16.795744680851065)","(0.3910698231944861, 0.44199328107502805)","(38.9497691263015, 243.0771389769126)","(0.025608000740500656, 0.04688988020387975)"
𐎘,300,"{'top_left': 43, 'top_right': 137, 'bottom_left': 45, 'bottom_right': 75}","{'top_left': 0.12215909090909091, 'top_right': 0.38920454545454547, 'bottom_left': 0.1278409090909091, 'bottom_right': 0.21306818181818182}","(17.3, 18.366666666666667)","(0.540625, 0.4174242424242424)","(102.23888888888888, 16.23)","(0.050488340192043894, 0.01490358126721763)"
𐎙,335,"{'top_left': 29, 'top_right': 16, 'bottom_left': 186, 'bottom_right': 104}","{'top_left': 0.05114638447971781, 'top_right': 0.02821869488536155, 'bottom_left': 0.328042328042328, 'bottom_right': 0.18342151675485008}","(23.292537313432835, 25.82089552238806)","(0.4313432835820895, 0.6147832267235253)","(32.06344397415906, 103.59800400980176)","(0.017340964831886997, 0.03424727405282703)"
𐎚,167,"{'top_left': 6, 'top_right': 0, 'bottom_left': 112, 'bottom_right': 49}","{'top_left': 0.011695906432748537, 'top_right': 0.0, 'bottom_left': 0.21832358674463936, 'bottom_right': 0.09551656920077972}","(20.48502994011976, 21.922155688622755)","(0.3793524062985141, 0.5768988339111252)","(2.8622037362400943, 144.44139266377425)","(0.0018817907536095295, 0.047749220715297275)"
𐎛,573,"{'top_left': 231, 'top_right': 97, 'bottom_left': 196, 'bottom_right': 49}","{'top_left': 0.2950191570881226, 'top_right': 0.12388250319284802, 'bottom_left': 0.2503192848020434, 'bottom_right': 0.06257982120051085}","(19.654450261780106, 25.717277486910994)","(0.36397130114407605, 0.44340133598122405)","(185.8432791498771, 131.2209095145418)","(0.05338789978450937, 0.04337881306265845)"
𐎜,525,"{'top_left': 143, 'top_right': 165, 'bottom_left': 134, 'bottom_right': 83}","{'top_left': 0.2787524366471735, 'top_right': 0.3216374269005848, 'bottom_left': 0.26120857699805067, 'bottom_right': 0.1617933723196881}","(25.074285714285715, 15.874285714285714)","(0.46433862433862433, 0.41774436090225564)","(97.62229115646258, 140.22114829931974)","(0.06418296591483405, 0.046354098611345367)"
𐎝,393,"{'top_left': 96, 'top_right': 145, 'bottom_left': 56, 'bottom_right': 96}","{'top_left': 0.19875776397515527, 'top_right': 0.3002070393374741, 'bottom_left': 0.11594202898550725, 'bottom_right': 0.19875776397515527}","(21.450381679389313, 19.21119592875318)","(0.5107233733187931, 0.426915465083404)","(151.53045989290962, 79.0363420935066)","(0.0716117485316208, 0.042745452727694214)"
